Narvgropvivel;Gronops lunatus;(Fabricius, 1775);VU;18
Stäppögonvivel;Strophosoma faber;(Herbst, 1785);VU;89
Hedögonvivel;Strophosoma fulvicorne;Walton, 1848;NT;3
Blåhallonvivel;Sciaphobus ningnidus;(Germar, 1824);VU;1
Fingerskorpvivel;Trachyphloeus digitalis;(Gyllenhal, 1827);NT;4
Sandskorpvivel;Trachyphloeus heymesi;Hübenthal, 1934;NT;1
Kalkskorpvivel;Trachyphloeus spinimanus;Germar, 1824;NT;18
Skatnävekokongvivel;Brachypera dauci;(Olivier, 1807);VU;29
Dammkokongvivel;Hypera arundinis;(Paykull, 1792);VU;3
Hedkokongvivel;Hypera melancholica;(Fabricius, 1792);RE;2
Sandspolvivel;Coniocleonus turbatus;(Fåhraeus, 1842);VU;19
Sprängörtsvivel;Lixus paraplecticus;(Linnaeus, 1758);NT;4
Blyvivel;Lepyrus capucinus;(Schaller, 1783);NT;1
Större lindborre;Ernoporicus caucasicus;(Lindemann, 1876);NT;2
Mindre aspborre;Trypophloeus binodulus;(Ratzeburg, 1837);NT;1
Klöverborre;Hylastinus obscurus;(Marsham, 1802);NT;11
Svart askbastborre;Hylesinus crenatus;(Fabricius, 1787);NT;41
Borstig askbastborre;Hylesinus taranio;(D'Anthoine, 1788);NT;8
Slät askbastborre;Hylesinus wachtli;Reitter, 1887;NT;3
Tolvtandad barkborre;Ips sexdentatus;(Börner, 1776);EN;2
Större apelsplintborre;Scolytus mali;(Bechstein & Scharfenberg, 1805);NT;20
Hårig tallbastborre;Hylurgus ligniperda;(Fabricius, 1787);DD;21
Fyrtandad ekvedborre;Xyleborus monographus;(Fabricius, 1792);NT;31
Kuststarrvivel;Tournotaris bimaculata;(Fabricius, 1787);VU;8
Dammkulspetsvivel;Nanophyes globulus;(Germar, 1821);VU;4
;Ancistronycha tigurina;Dietrich, 1857;NT;29
;Malthodes dispar;(Germar, 1824);VU;3
;Malthinus facialis;Thomson, 1864;NT;2
;Malthinus seriepunctatus;Kiesenwetter, 1851;NT;1
Sandhjärtknäppare;Cardiophorus asellus;Erichson, 1840;NT;71
Blank hjärtknäppare;Cardiophorus ebeninus;(Germar, 1824);NT;4
Sidenhjärtknäppare;Dicronychus equisetioides;Lohse, 1976;VU;12
Epålettknäppare;Calambus bipustulatus;(Linnaeus, 1767);NT;24
Hålträdsknäppare;Crepidophorus mutilatus;(Rosenhauer, 1847);VU;5
Röd ögonknäppare;Denticollis rubens;Piller & Mitterpacher, 1783;EN;21
Rombknäppare;Stenagostus rhombeus;(Olivier, 1790);VU;12
Jätteknäppare;Stenagostus rufus;(De Geer, 1774);VU;3
Kardinalrödrock;Ampedus cardinalis;(Schiödte, 1865);NT;29
Svartspetsad rödrock;Ampedus praeustus;(Fabricius, 1792);NT;1
Bokrödrock;Ampedus rufipennis;(Stephens, 1830);VU;42
Sadelrödrock;Ampedus sanguinolentus;(Schrank, 1776);NT;42
Mulmknäppare;Elater ferrugineus;Linnaeus, 1758;VU;126
Broksandknäppare;Negastrius sabulicola;(Boheman, 1854);NT;7
Hålskenknäppare;Eucnemis capucinus;Ahrens, 1812;NT;50
Lindskenknäppare;Dromaeolus barnabita;(A. Villa & J.B. Villa, 1838);CR;4
Glansskenknäppare;Xylophilus corticalis;(Paykull, 1800);NT;31
;Erotides cosnardi;(Chevrolat, 1829);VU;27
Mulmstumpbagge;Abraeus granulum;Erichson, 1839;NT;17
Klotstumpbagge;Chaetabraeus globulus;(Creutzer, 1799);NT;12
Dvärgstumpbagge;Aeletes atomarius;(Aubé, 1842);NT;33
Bokstumpbagge;Plegaderus dissectus;Erichson, 1839;NT;105
Furustumpbagge;Plegaderus saucius;Erichson, 1834;NT;2
Roststumpbagge;Haeterius ferrugineus;(Olivier, 1789);NT;10
Stäppstumpbagge;Hister bissexstriatus;Fabricius, 1801;VU;9
Kolstumpbagge;Margarinotus carbonarius;(Hoffmann, 1803);VU;32
Hedstumpbagge;Margarinotus neglectus;(Germar, 1813);VU;9
Glansstumpbagge;Margarinotus obscurus;(Kugelann, 1792);NT;35
Fläckstumpbagge;Margarinotus purpurascens;(Herbst, 1792);NT;166
Ädellövstumpbagge;Platysoma compressum;(Herbst, 1783);VU;13
Aspstumpbagge;Platysoma deplanatum;(Gyllenhal, 1808);NT;1
Starstumpbagge;Gnathoncus nidorum;Stockmann, 1957;NT;1
Klittstumpbagge;Hypocaccus rugiceps;(Duftschmid, 1805);EN;31
Backsvalestumpbagge;Saprinus rugifer;(Paykull, 1809);EN;7
Smaragdstumpbagge;Saprinus virescens;(Paykull, 1798);EN;2
;Hydrochus elongatus;(Schaller, 1783);NT;10
;Paracymus aeneus;(Germar, 1824);NT;4
;Hydrophilus aterrimus;Eschscholtz, 1822;NT;30
Större vattenbagge;Hydrophilus piceus;(Linnaeus, 1758);NT;25
;Sphaeridium substriatum;Faldermann, 1838;VU;7
Skeppsvarvsfluga;Lymexylon navale;(Linnaeus, 1758);NT;49
Vårtordyvel;Trypocopris vernalis;(Linnaeus, 1758);NT;285
Svartoxe;Ceruchus chrysomelinus;(Hochenwarth, 1785);EN;3
Likgul dyngbagge;Acrossus luridus;(Fabricius, 1775);NT;81
Heddyngbagge;Bodilopsis sordida;(Fabricius, 1775);NT;56
Fyrfläckig dyngbagge;Eudolus quadriguttatus;(Herbst, 1783);EN;47
Ribbdyngbagge;Euheptaulacus sus;(Herbst, 1783);EN;82
Ängsjordbagge;Euheptaulacus villosus;(Gyllenhal, 1806);NT;3
Skoveldyngbagge;Euorodalus coenosus;(Panzer, 1798);VU;75
Sidendyngbagge;Pubinus tomentosus;(Müller, 1776);EN;10
Snyltdyngbagge;Sigorus porcus;(Fabricius, 1792);NT;13
Hårdyngbagge;Trichonotulus scrofa;(Fabricius, 1787);VU;82
Hedrotkrypare;Diastictus vulneratus;(Sturm, 1805);NT;9
Ädelguldbagge;Gnorimus nobilis;(Linnaeus, 1758);NT;37
Svart guldbagge;Gnorimus variabilis;(Linnaeus, 1758);EN;21
Läderbagge;Osmoderma eremita;(Scopoli, 1763);VU;184
Daggborre;Maladera holosericea;(Scopoli, 1772);EN;59
Fjällig ängsborre;Hoplia philanthus;(Fuesslin, 1775);EN;4
Hedborre;Amphimallon fallenii;(Gyllenhal, 1817);VU;72
Sandborre;Anomala dubia;(Scopoli, 1763);NT;118
Månhornsbagge;Copris lunaris;(Linnaeus, 1758);VU;185
Krokhorndyvel;Onthophagus fracticornis;(Preyssler, 1790);NT;210
Joannas dvärgdyvel;Onthophagus joannae;Goljan, 1953;VU;29
Rakhorndyvel;Onthophagus nuchicornis;(Linnaeus, 1758);NT;282
Sandknotbagge;Trox sabulosus;(Linnaeus, 1758);VU;10
;Scirtes orbicularis;(Panzer, 1793);NT;8
;Hydraena nigrita;Germar, 1824;NT;9
;Limnebius nitidus;(Marsham, 1802);VU;7
;Ochthebius auriculatus;Rey, 1886;NT;5
;Leiodes ciliaris;(Schmidt, 1841);NT;3
Sågtandad mycelbagge;Liodopria serricornis;(Gyllenhal, 1813);NT;2
;Agathidium haemorrhoum;Erichson, 1845;NT;2
;Amphicyllis globiformis;(Sahlberg, 1833);NT;4
;Ptenidium gressneri;Erichson, 1845;NT;23
Heddödgrävare;Nicrophorus vestigator;Herschel, 1807;VU;2
Matt asbagge;Silpha obscura;Linnaeus, 1758;VU;6
Strandskinnarbagge;Thanatophilus dispar;(Herbst, 1793);NT;15
;Aleochara binotata;Kraatz, 1856;NT;8
;Aleochara laevigata;Gyllenhal, 1810;NT;3
;Aleochara verna;Say, 1833;NT;8
;Atheta pfaundleri;Benick, 1940;DD;2
;Atheta fungivora;(Thomson, 1867);DD;10
;Atheta inquinula;(Gravenhorst, 1802);VU;2
;Atheta laticeps;(Thomson, 1856);NT;11
;Atheta subsinuata;(Erichson, 1839);NT;2
;Notothecta confusa;(Märkel, 1845);NT;3
;Philhygra ripicola;(Hanssen, 1932);NT;1
;Thamiaraea hospita;(Märkel, 1845);NT;5
;Tomoglossa luteicornis;(Erichson, 1837);NT;2
;Falagrioma thoracica;(Stephens, 1832);NT;1
;Alevonota rufotestacea;(Kraatz, 1856);DD;1
;Agaricochara latissima;(Stephens, 1832);NT;14
;Bolitochara tecta;Assing, 2014;VU;12
;Gyrophaena transversalis;Strand, 1939;DD;4
;Silusa rubiginosa;Erichson, 1837;VU;22
;Cypha pulicaria;(Erichson, 1839);DD;1
;Cypha punctum;(Motschulsky, 1857);DD;1
;Haploglossa nidicola;(Fairmaire, 1853);NT;5
;Ocalea rivularis;Miller, 1852;DD;1
;Thiasophila inquilina;(Märkel, 1845);NT;3
Ljus sandkortvinge;Phytosus balticus;Kraatz, 1859;VU;6
;Brachyusa concolor;(Erichson, 1839);NT;14
;Gnypeta rubrior;Tottenham, 1939;NT;7
;Micropeplus porcatus;(Paykull, 1789);NT;1
;Geodromicus hoejeri;Palm, 1961;NT;1
;Xylodromus testaceus;(Erichson, 1840);VU;1
;Anotylus nitidulus;(Gravenhorst, 1802);NT;38
;Anotylus pumilus;(Erichson, 1839);VU;9
;Oxytelus piceus;(Linnaeus, 1767);NT;21
;Bledius atricapillus;(Germar, 1825);EN;13
;Bledius baudii;Fauvel, 1872;VU;3
;Bledius erraticus;Erichson, 1839;VU;16
;Bledius filipes;Sharp, 1911;VU;1
;Bledius longulus;Erichson, 1839;NT;4
;Bledius nanus;Erichson, 1840;VU;17
;Manda mandibularis;(Gyllenhal, 1827);NT;2
Bredhornad grusvinge;Thinobius brevipennis;Kiesenwetter, 1850;NT;4
;Achenium humile;(Nicolai, 1822);NT;2
;Medon ripicola;(Kraatz, 1854);DD;1
;Paederus littoralis;Gravenhorst, 1802;VU;6
;Scopaeus pusillus;Kiesenwetter, 1843;NT;1
;Batrisodes adnexus;(Hampe, 1863);VU;4
;Claviger longicornis;Müller, 1818;VU;1
;Euplectus bonvouloiri;Reitter, 1882;VU;3
;Euplectus duponti;Aubé, 1833;NT;9
;Plectophloeus nubigena;(Reitter, 1877);NT;37
;Bibloporus ultimus;Guillebeau, 1892;VU;1
;Scaphisoma balcanicum;Tamanini, 1954;VU;1
;Scaphisoma subalpinum;Reitter, 1880;NT;1
;Neuraphes plicicollis;Reitter, 1879;NT;2
;Stenichnus pusillus;(Müller & Kunze, 1822);NT;2
;Euthiconus conicicollis;(Fairmaire & Laboulbène, 1855);VU;1
;Acylophorus glaberrimus;(Herbst, 1784);VU;2
Guldkortvinge;Dinothenarus pubescens;(De Geer, 1774);VU;2
Humlekortvinge;Emus hirtus;(Linnaeus, 1758);NT;113
;Heterothops binotatus;(Gravenhorst, 1802);DD;19
;Philonthus lepidus;(Gravenhorst, 1802);NT;41
;Philonthus rubripennis;Stephens, 1832;VU;2
;Philonthus salinus;Kiesenwetter, 1844;NT;8
Småögd lundkortvinge;Quedius fulgidus;(Fabricius, 1793);NT;1
;Quedius truncicola;Fairmaire & Laboulbène, 1856;VU;24
;Quedius balticus;Korge, 1960;NT;3
;Remus sericeus;Holme, 1837;VU;11
Strandstorkortvinge;Tasgius globulifer;(Geoffroy, 1785);NT;17
;Stenus gallicus;Fauvel, 1873;DD;1
;Stenus longitarsis;Thomson, 1851;NT;1
;Stenus providus;Erichson, 1839;NT;5
;Carphacis striatus;(Olivier, 1795);VU;12
Aspögonbagge;Aderus populneus;(Creutzer, 1796);NT;30
Tvåfläckig kvickbagge;Anthicus bimaculatus;(Illiger, 1801);NT;21
Större kvickbagge;Anthicus sellatus;(Panzer, 1797);NT;16
Spadbent kvickbagge;Cordicomus instabilis;(Schmidt, 1842);NT;6
;Cis fusciclavis;Nyholm, 1954;NT;26
;Cis pygmaeus;(Marsham, 1802);DD;8
;Cis rugulosus;Mellié, 1848;NT;3
;Cis submicans;Abeille de Perrin, 1874;NT;10
;Cis villosulus;(Marsham, 1802);NT;23
Enbandad brunbagge;Hypulus bifasciatus;(Fabricius, 1792);VU;7
